"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum - Mus musculus (house mouse)","58/2083","177/10650",0.327683615819209,1.67538670594075,4.46774373353327,1.94197682399775e-05,0.000279968325459675,0.000158424425115606,"81489/226641/18415/67128/64209/26965/11911/20335/15502/20832/66212/12334/15505/12028/12317/12333/75744/12330/18024/18453/14827/213539/12364/110616/26419/27054/50873/67838/22027/66861/72265/66357/216080/67437/12915/116891/56709/67397/22393/54609/12043/103963/26420/81500/12018/192193/12282/217365/26400/57377/56424/71853/16430/66890/108159/22230/12304/18786",58
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","25/2083","57/10650",0.43859649122807,2.24246405740708,4.63763367448647,2.40509397088679e-05,0.000332865005570732,0.000188356833088397,"11669/11364/93747/67041/52538/110446/15107/104776/208982/66885/15108/73724/113868/58875/78894/66904/56357/73988/12036/78038/227095/12040/11671/72039/15356",25
NA,NA,"mmu04518","Integrin signaling - Mus musculus (house mouse)","51/2083","153/10650",0.333333333333333,1.70427268362938,4.32651910435981,3.6295468718015e-05,0.000480499799103302,0.000271898273906949,"20750/109711/16777/108101/12443/14268/241639/16403/12550/231470/16774/13649/16782/17295/60595/11465/242022/21825/16399/16414/19354/21923/12444/286940/11652/12826/74769/16411/18590/12266/16780/12827/16419/16776/110829/16421/21828/192176/170758/14118/16409/16402/70549/114249/16398/12830/18710/18591/12842/12445/218952",51
"Metabolism","Carbohydrate metabolism","mmu00052","Galactose metabolism - Mus musculus (house mouse)","17/2083","33/10650",0.515151515151515,2.63387596560904,4.63510749608036,3.94585747428738e-05,0.000480499799103302,0.000271898273906949,"11997/14187/15277/56421/18642/67861/319625/11605/76051/66681/12091/18641/15275/68401/14387/216558/14595",17
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance - Mus musculus (house mouse)","58/2083","181/10650",0.320441988950276,1.63836158536747,4.27108384617565,4.03612452564317e-05,0.000480499799103302,0.000271898273906949,"20356/22419/13640/22417/18479/69632/19878/17295/108058/19055/20354/67938/13636/12631/53972/19354/226251/171171/12767/93737/319713/57764/20346/58220/18845/107448/74769/19056/13641/14360/319757/14677/234779/13642/18481/12568/13838/20352/20361/11854/170758/108151/107449/12934/50780/20130/70584/259302/18710/20349/13638/20563/117600/20351/18844/18186/13846/16653",58
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism - Mus musculus (house mouse)","43/2083","123/10650",0.349593495934959,1.78740793648935,4.33096523010303,4.0996458716411e-05,0.000480499799103302,0.000271898273906949,"11676/76282/93747/17449/109264/15277/21881/66171/18746/14433/13885/20917/67680/110446/104174/110208/11674/56421/14661/18642/104776/19895/107029/73724/107272/18648/269951/13806/434437/100678/67078/66904/66052/100198/236539/21991/227095/433182/14718/328099/18641/15275/108037",43
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","101/2083","359/10650",0.28133704735376,1.43842513409388,4.16676055009479,4.21707713662805e-05,0.000480499799103302,0.000271898273906949,"20750/21926/16777/12443/14268/22419/22417/15205/18759/16403/224912/18131/11789/16774/13649/16782/71978/12575/18746/114143/11974/66290/11984/18128/69116/12695/12028/21825/19697/16399/56458/14368/15976/21415/21937/21923/14102/12444/15015/16391/23859/22413/93737/58220/11652/14367/56489/16362/12826/74769/73834/225849/19664/19179/21416/16780/12827/12370/16419/16776/19225/16421/231991/12428/20846/27060/21871/21828/71609/103806/66335/15975/14924/73699/16402/20847/16151/14362/18749/16398/12830/18710/12367/12018/105782/231655/19219/66144/22031/53310/12571/18129/12842/64930/12445/22409/15182/59032/23962/237336/16653",101
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism - Mus musculus (house mouse)","26/2083","62/10650",0.419354838709677,2.14408498908212,4.45483713234834,4.3050560035267e-05,0.000480499799103302,0.000271898273906949,"20250/11364/93747/106529/20280/74205/52538/170439/70757/110446/14081/15107/66775/66885/113868/94180/74559/14104/83603/30963/11370/56473/76267/57874/234309/107476",26
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)","66/2083","215/10650",0.306976744186047,1.56951623887729,4.1597169526661,5.55235802356978e-05,0.000600348711298483,0.000339716642231572,"217944/16590/70405/13640/54519/18759/12550/99470/14183/13649/14293/76089/17295/11465/13636/18049/26397/17356/18643/21825/16399/16414/16822/74055/17311/19354/21844/57257/17532/12927/93737/15901/58220/11652/110351/74769/22324/18590/14677/12977/56508/11541/238130/12314/12315/170758/14924/16409/70549/20130/18053/227377/14164/19094/18710/13638/18591/50791/14682/19730/75292/11515/14745/18751/22323/16653",66
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","28/2083","70/10650",0.4,2.04512722035526,4.32573599408183,6.16850644621316e-05,0.000646758554663562,0.000365978372885374,"16176/21926/13057/14281/17970/16175/16476/13627/19697/16414/17972/14131/17969/18035/17357/12266/21808/14969/19225/15980/20846/21898/16409/266632/19094/16153/14998/18751",28
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer - Mus musculus (house mouse)","33/2083","88/10650",0.375,1.91730676908305,4.26056816359443,6.59083007096288e-05,0.000670713883692105,0.000379533867863497,"12443/14281/13874/11789/13649/16476/12575/12028/19354/21415/72993/17685/12125/13063/11652/74769/26419/11799/21416/21808/170758/58801/12043/26420/18710/12367/12018/17873/21802/17688/19730/17686/16653",33
"Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","48/2083","145/10650",0.331034482758621,1.6925190789147,4.1400194409427,7.39355279265019e-05,0.000730905504644848,0.000413594231408402,"16176/17698/12443/14281/68135/16175/16476/14694/12028/19697/15976/71586/14102/12444/16391/18035/13063/11652/56489/27103/246727/74769/26419/11783/12370/21929/54123/20846/71609/15975/21898/12048/266632/20847/16151/12043/208650/26420/18710/12367/20851/12018/22031/12571/15467/12445/56382/12122",48
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","52/2083","163/10650",0.319018404907975,1.63108305917904,4.00349559830167,0.000112537083916569,0.00108160641764258,0.000612043789721693,"11847/330662/235584/226421/140580/108058/18263/20525/11980/11846/21825/12317/17304/20312/19015/12927/56696/105722/319520/19349/218035/171285/228545/70686/16419/15251/320091/19225/16423/11303/19128/19261/219149/26362/18218/18613/228432/56632/17164/19094/12367/12484/19219/16153/11487/55991/238257/269338/214058/11491/77573/16971",52
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","62/2083","204/10650",0.303921568627451,1.55389568213267,3.93869831852672,0.000126524635779866,0.00114970872825348,0.000650580539869632,"17698/66922/14734/18569/21926/12443/14268/22419/22417/18479/69632/13649/12512/19878/17295/108058/20971/12575/11465/20969/21825/14368/74055/14102/21844/57257/17532/22413/15163/14388/11652/14367/13867/17395/74769/22324/12390/319757/234779/21808/16419/15251/16439/192176/21898/16402/20130/14362/18749/16398/14733/19094/18710/12367/16438/15530/13179/12842/20544/22409/18751/16653",62
NA,NA,"mmu04517","IgSF CAM signaling - Mus musculus (house mouse)","85/2083","300/10650",0.283333333333333,1.44863178108497,3.88655800094203,0.000128528096200263,0.00114970872825348,0.000650580539869632,"17698/109711/16180/13052/71960/18479/18759/12550/111173/108100/17096/223435/76089/60595/67938/11867/11465/17356/67771/21873/19266/19268/17756/380928/16456/52118/58235/18858/56458/16414/16822/16331/54725/22146/19283/20743/22152/18187/12523/57257/12927/93737/58220/18845/19280/11652/107448/13822/13821/74769/53857/22324/26419/16411/14360/22154/234779/327814/73710/18481/68089/14924/16409/107449/12519/16402/74053/70584/66713/259302/26420/19094/18710/71566/76787/20563/117600/50791/18844/73178/22151/17475/18751/252966/18186",85
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","32/2083","87/10650",0.367816091954023,1.88057675434966,4.066472766435,0.000129591446248225,0.00114970872825348,0.000650580539869632,"330122/20310/20302/16176/20311/17392/21926/14281/14825/16175/16476/114143/11974/66290/11984/16414/73834/12981/20296/21808/12977/83430/14969/69583/27060/21871/66335/21898/12519/11433/66144/14998",32
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis - Mus musculus (house mouse)","29/2083","77/10650",0.376623376623377,1.92560679838644,4.01936500793799,0.000163789784285335,0.00141678163406814,0.000801707891501901,"16176/20311/12475/216799/21926/70405/14281/16175/16476/12631/19697/16414/16362/26419/12266/14677/83430/12314/12315/21898/16409/266632/16402/26420/19094/12367/16153/117149/107607",29
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","61/2083","202/10650",0.301980198019802,1.54396980744642,3.84873990727459,0.000174005207828457,0.00146843419289381,0.000830936294123054,"20750/109711/16777/12443/14268/19417/330662/18479/16403/16774/13649/16782/19878/17295/60595/16476/67938/11465/11796/12334/21825/16399/19354/21923/12444/57257/12927/286940/11652/12826/74769/18717/22324/26419/18590/12390/14360/16780/12827/18481/16419/16776/13731/16421/232906/21828/192176/170758/16402/70549/12043/70584/16398/12830/26420/18710/18591/12842/12445/18751/22323",61
"Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system - Mus musculus (house mouse)","34/2083","96/10650",0.354166666666667,1.81078972635622,3.93477563685604,0.000190017741883099,0.00154235162268221,0.000872763619771497,"233011/70405/16329/75678/84095/16331/74055/74596/18704/74769/53332/18717/18718/234779/12314/16439/12315/16330/114663/225326/227333/17772/104418/16332/219135/18710/16438/170749/55980/20975/234515/110911/18751/320404",34
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway - Mus musculus (house mouse)","84/2083","299/10650",0.280936454849498,1.43637697750704,3.77390475040483,0.000191679536922934,0.00154235162268221,0.000872763619771497,"16176/12475/66922/21926/16180/16590/19417/14281/13640/13874/235584/18479/14183/63953/13649/110651/76089/17295/11911/19055/16175/16476/15507/16478/13636/18049/26397/19042/67603/19697/26401/17311/19354/21937/14102/17532/26405/20111/11652/13867/225028/19056/319520/26419/18590/21808/15370/12977/70686/12531/53608/18205/13163/71609/192176/170758/266632/20130/16151/18218/18053/18749/20112/17164/72349/14164/11876/26420/19094/12367/13638/18591/20807/58231/26400/17873/21802/16177/19698/26411/114713/18751/14673/16653",84
"Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism - Mus musculus (house mouse)","17/2083","37/10650",0.45945945945946,2.34913261797563,4.05341515871665,0.000241892839436535,0.00190215732829639,0.00107636526639224,"11997/14187/11676/15277/11674/56421/18642/20322/67861/16548/331026/319801/170768/21991/18641/15275/75540",17
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)","33/2083","94/10650",0.351063829787234,1.79492548595009,3.81702779217901,0.000283032688578417,0.00217620689440294,0.00123144046960434,"330662/18479/17909/17096/227753/19264/11867/67771/12631/16331/14131/19354/211914/17969/20259/17118/57257/17357/11652/74769/18717/22324/234779/20963/14389/68089/56632/66713/16332/18710/18805/18751/22323",33
NA,NA,"mmu04382","Cornified envelope formation - Mus musculus (house mouse)","65/2083","223/10650",0.291479820627803,1.49028328837547,3.64841724702569,0.000329795363702029,0.00248063469219352,0.0014037056670155,"20201/20202/13510/20758/20759/67855/13850/94060/110310/18260/12821/16403/16774/16480/13512/16782/20763/16667/71978/109620/53624/12740/110308/268482/16664/20195/16669/94179/20754/14027/18553/16665/20762/12333/20198/20196/20753/545548/16663/16668/74591/225256/12826/239931/16691/225849/16780/21816/12827/16776/83603/71529/16678/73699/12830/26569/628324/12365/74176/76560/12739/386463/59032/71932/545975",65
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway - Mus musculus (house mouse)","49/2083","158/10650",0.310126582278481,1.58562078793366,3.65679447529745,0.000369952176314303,0.00272347772350529,0.00154112216784906,"12443/22419/209456/21676/22417/22601/319710/18759/12550/56289/11789/97064/71978/12385/11465/22630/11796/21679/12695/20583/14368/16414/12161/21415/12156/211652/12444/23859/22413/93737/15901/58220/14367/14219/11799/21416/21808/22629/73699/14362/21678/14164/105782/73246/64010/101543/53310/12445/22409",49
"Metabolism","Amino acid metabolism","mmu00270","Cysteine and methionine metabolism - Mus musculus (house mouse)","22/2083","56/10650",0.392857142857143,2.00860709142034,3.731390586457,0.000497102989244347,0.00358328404746967,0.00202765692981247,"12583/107869/246221/17449/11702/232087/56369/20603/14630/22117/107272/16828/73988/236539/12036/70266/13433/14718/20810/14854/16832/210808",22
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","23/2083","60/10650",0.383333333333333,1.95991358617379,3.67658362603639,0.00056432326833911,0.00398481328255779,0.00225486848358914,"330122/20310/16176/12475/21926/14825/13627/94044/19697/16414/18035/13063/11841/11783/12266/12370/21898/16409/12367/12176/15499/268973/15510",23
"Genetic Information Processing","Replication and repair","mmu03030","DNA replication - Mus musculus (house mouse)","16/2083","36/10650",0.444444444444444,2.27236357817251,3.77057516378945,0.000582098691711511,0.0039950176806343,0.002260642800724,"66979/17220/16881/17218/14156/69745/17215/68209/18974/69263/19076/17217/18973/68240/72151/59001",16
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","36/2083","109/10650",0.330275229357798,1.68863715442177,3.56325955245101,0.000588860987607946,0.0039950176806343,0.002260642800724,"15944/21926/16777/16835/16155/16403/16774/16782/26397/11796/19697/21937/16145/18035/13063/11652/26419/14677/21808/16780/12370/16776/14969/15980/20846/21898/12048/266632/16151/12043/26420/19094/12367/16153/14998/105675",36
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism - Mus musculus (house mouse)","22/2083","57/10650",0.385964912280702,1.97336837051823,3.63320444232083,0.000661995694900447,0.00440481750837605,0.0024925343978033,"80914/12495/22271/103149/66588/99586/18102/23959/68556/69719/18103/209558/72269/66422/18605/22171/20135/50773/55936/110074/20133/13178",22
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome - Mus musculus (house mouse)","30/2083","87/10650",0.344827586206897,1.76304070720281,3.52369539644856,0.00073926901941879,0.00482617133431889,0.00273096400420844,"13850/51798/19299/20280/74205/18477/74114/228061/14081/22436/16922/67993/56273/208982/76263/67420/113868/269951/19305/18634/28200/18631/234384/20656/67528/12908/26378/71382/93734/15356",30
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma - Mus musculus (house mouse)","52/2083","175/10650",0.297142857142857,1.51923736369248,3.41501495427339,0.000768698301425559,0.00492536319061562,0.00278709325663068,"14859/14858/12443/22419/22417/11789/13649/17295/14860/12575/15368/11465/212398/14863/50493/14862/12028/66447/14368/21415/18024/103140/93760/22413/14873/14388/14872/72057/211666/11652/14367/74769/234779/21416/21808/56615/232223/83796/14857/12048/14362/18710/12018/14871/18104/12571/17873/21802/22409/83797/18751/16653",52
