"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","77/2229","202/10650",0.381188118811881,1.82128912756686,6.06293329910492,1.26697640203214e-08,3.38185239619348e-07,1.75427501819835e-07,"20750/109711/12443/18479/16403/12334/330662/13649/19417/21825/16774/17295/13731/60595/19878/21923/67938/13730/67268/11465/16777/57257/16782/12826/19354/12827/16476/11796/14268/16399/56637/11652/12390/22324/16775/107589/14360/16402/18717/16780/286940/21828/192897/170758/16419/12927/215449/107746/26420/18591/18481/18596/70584/12842/192176/16398/12830/18595/16776/12843/214230/109700/12833/12043/12834/12835/22339/110157/20416/74769/19303/12445/21894/23797/18709/18708/16410",77
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","81/2229","217/10650",0.373271889400922,1.78346595877964,5.99891914775118,1.61807395325521e-08,4.01051186985398e-07,2.08038079704241e-07,"330122/20302/16176/20310/12475/216799/17392/70405/21926/13057/16835/14825/226641/14281/19878/17970/11911/17096/17969/17972/18024/18035/14102/26397/57257/108078/19055/26398/12314/12028/20296/21937/16476/19697/66824/56489/16173/20656/56637/13063/11652/22324/18797/22031/22027/11303/16438/22329/15894/18988/11783/193740/18795/13110/215449/26420/16193/12122/21898/18018/12370/12043/16151/12048/12367/24088/13198/15510/18987/56480/22359/21933/74769/16801/12371/266632/26408/23797/12315/18709/18708",81
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","57/2229","136/10650",0.419117647058824,2.00251365687594,6.05345585273001,2.08869236560734e-08,4.8318416724383e-07,2.5064308387288e-07,"16176/216799/21926/330662/108100/69632/140580/110651/14281/19878/11845/16822/76709/11465/18035/26397/109333/57257/26398/54483/11867/19354/14131/20296/215280/16476/19697/66824/74192/16173/14268/56637/56443/11652/22324/16402/18717/20112/20111/54353/170758/12927/16153/26420/16193/21898/18018/16151/56480/19229/74769/16801/19303/266632/23797/18709/18708",57
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","117/2229","359/10650",0.325905292479109,1.55715180121243,5.5248385094696,1.05972636702878e-07,2.29828155849366e-06,1.19219216290737e-06,"20750/21926/22417/12443/224912/16403/13649/18759/18131/21825/15205/16774/22419/11789/15018/71978/21923/93687/12575/18746/11984/14102/58220/16777/16782/93742/12028/12826/27061/12827/19744/21937/93737/114143/12695/19052/51792/19697/56458/56489/14964/18128/15976/69116/110557/19664/14368/14268/16399/56637/19225/21415/23859/225849/11974/11652/66290/16775/217325/16402/15975/16362/16780/22031/27060/21828/192897/22413/16419/12428/231991/14362/105782/18596/12842/16398/14924/12830/66335/21871/107932/18749/16776/12843/18129/12370/12447/109700/12833/16151/12834/12835/12448/22339/19219/12367/15182/56480/73834/13555/110157/21374/64930/66144/74769/19303/52432/22409/12445/11972/101206/12571/23797/18709/18708/16410/237336",117
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","48/2229","112/10650",0.428571428571429,2.0476831378581,5.73439338193374,1.18426696788683e-07,2.41729786974546e-06,1.2539297307037e-06,"16176/56619/17474/14127/216799/70405/21926/66922/18479/69632/240354/12051/56620/18035/19055/12314/16476/19697/66824/56489/16440/19225/208650/83430/11652/20963/234779/16362/17164/16439/16438/16985/16153/26420/17532/19698/16193/18018/12370/16151/18034/20130/110157/74769/23797/12315/18709/18708",48
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","74/2229","204/10650",0.362745098039216,1.73316971472304,5.43966562031521,2.55675090194875e-07,4.9288475720901e-06,2.55675090194875e-06,"17698/21926/66922/14734/22417/12443/18479/20969/18569/13649/69632/21825/21844/12512/17295/22419/19878/15200/20971/12575/11465/14102/57257/13867/15163/14368/14268/21808/16440/15251/319757/11652/12390/22324/16402/234779/74055/14182/16439/22413/16438/14388/15530/16419/14733/22160/109676/14173/14362/17532/12842/192176/11836/16398/20544/66911/21898/18749/12843/21803/12402/22339/12367/24088/20130/110157/74769/16801/19303/22409/23797/18709/18708/16410",74
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway - Mus musculus (house mouse)","99/2229","299/10650",0.331103678929766,1.58198931386362,5.25154467538357,4.46590009226453e-07,8.1561438527147e-06,4.23085271898745e-06,"16176/12475/21926/66922/18479/16180/13640/13649/19417/16590/17295/110651/14183/14281/11911/15507/16175/14102/13874/26397/19042/19055/235584/26398/63953/19354/13636/21937/16476/76089/17873/13867/19697/53608/12977/18049/330177/21808/67603/11652/26401/12531/225028/20112/17164/20111/14182/319520/16177/12293/17311/170758/13638/193740/14173/215449/26420/18205/17532/18591/18596/72349/192176/19698/11836/75590/18595/18053/18749/13537/18018/12289/14701/21803/18218/23882/16151/18034/14573/22339/19252/12367/26411/13198/20130/14164/18212/110157/11909/12294/58231/11839/266632/26408/23797/14673/17346/70686/56692",99
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)","45/2229","107/10650",0.420560747663551,2.00940868668319,5.39888948396678,5.60008122339578e-07,9.71614092259168e-06,5.0400731010562e-06,"20303/330122/16176/20310/12475/12045/21926/22029/240354/111173/12047/14825/17060/12044/17096/12633/18035/13607/217069/21937/333654/17873/19697/11796/24047/245527/19225/21929/20963/234779/22033/22031/16177/22329/15894/11545/19698/21898/23882/12043/16151/18034/12048/266632/59004",45
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","38/2229","87/10650",0.436781609195402,2.08691078417722,5.23705938163624,1.36778450169329e-06,2.24131111940189e-05,1.16263977375314e-05,"330122/20302/16176/20310/20311/17392/21926/14825/14281/16414/16175/11984/20296/114143/16476/12977/16173/21808/83430/11974/66290/12477/12519/69583/27060/15894/16193/66335/21871/21898/21803/22339/14998/24088/16156/73834/66144/11972",38
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence - Mus musculus (house mouse)","66/2229","183/10650",0.360655737704918,1.72318690289698,5.07682974420381,1.4210041679205e-06,2.24131111940189e-05,1.16263977375314e-05,"70405/66922/12443/11739/12334/16009/22333/12333/15258/15018/16175/12575/18412/26397/19055/103213/12314/19744/17873/19697/56458/22334/14964/110557/21808/16440/11652/12534/268697/17164/12649/16439/16438/54354/12530/17865/12428/19367/17532/72568/104394/16193/18018/12289/217708/21803/12447/23882/14235/12448/18787/63873/20130/13559/13555/110157/64930/74769/12445/12571/23797/67738/12315/18709/18708/58800",66
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer - Mus musculus (house mouse)","32/2229","69/10650",0.463768115942029,2.21585035207834,5.21277436795551,1.89150015257571e-06,2.79722016662102e-05,1.45100757922704e-05,"13649/16590/20539/15277/17295/14183/18746/68263/80879/20525/56421/212032/15251/11652/18642/228026/14182/269951/100126824/319801/18596/20514/18648/18595/15275/16828/18641/110157/74769/23797/18709/18708",32
NA,NA,"mmu04517","IgSF CAM signaling - Mus musculus (house mouse)","97/2229","300/10650",0.323333333333333,1.54486316733961,4.92499186193317,1.93467677230272e-06,2.79722016662102e-05,1.45100757922704e-05,"17698/109711/71960/13052/16456/18479/19268/16180/12550/21873/17356/58235/108100/18759/21872/111173/380928/13822/60595/20743/227613/11845/67938/16414/17096/19283/16822/67268/76709/11465/58220/57257/17756/93742/19266/17196/11867/12523/16331/93737/76089/54725/71740/56458/18858/74192/260299/22152/16409/223435/56637/56443/13821/11652/73710/22324/107589/14360/16402/17974/12519/19280/71566/234779/52118/14182/15894/327814/107448/12927/109676/18845/215449/26420/18481/70584/17475/14924/107449/216856/214230/225875/16728/117600/17967/18186/22154/20563/74769/19303/58998/50791/23797/252966/74053/18709/18708",97
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","114/2229","368/10650",0.309782608695652,1.48011878986483,4.82237996634209,2.66932800821295e-06,3.70502727539958e-05,1.92191616591333e-05,"20750/12985/83490/12443/16403/13640/13649/21825/16590/16774/18414/22630/17295/14183/170755/71978/21923/12125/11911/14693/18413/12575/13874/109333/16777/16782/13684/12826/13636/12827/19744/13867/19052/51792/19697/12977/15976/12986/18049/14268/16399/56637/16190/225849/11652/16775/20963/64337/16402/15975/16780/14182/21828/22027/12189/192897/66066/17311/16419/13638/231991/14173/244650/18205/108079/18591/18596/14745/12842/16188/16193/16398/14924/12830/18595/18053/21898/22629/16776/12843/14936/14701/17210/12447/109700/12833/12043/16151/12834/12835/12048/12448/12915/14573/22339/24088/20393/14164/18212/110157/11909/105787/64930/74769/52432/11839/12371/12445/50791/12571/23797/18709/18708/16410",114
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","41/2229","101/10650",0.405940594059406,1.93955465533094,4.88095387453768,5.17298677688343e-06,6.73227881739589e-05,3.49224837789989e-05,"16176/21926/12443/14066/13614/12825/16175/12028/12826/12827/20296/16476/19697/56458/14268/21808/11652/18797/234779/18799/74055/22329/15894/18795/26420/12842/16193/12830/12843/18018/21803/12043/20851/22339/18787/12367/74769/23797/20850/18709/18708",41
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)","73/2229","215/10650",0.33953488372093,1.62227299758991,4.7422186406199,5.23837256684983e-06,6.73227881739589e-05,3.49224837789989e-05,"70405/217944/54519/12550/13640/17356/13649/18759/21825/16590/14293/21844/17295/14183/16414/16822/11465/58220/26397/57257/238130/93742/12314/19354/13636/93737/76089/12977/99470/18049/16409/56044/16399/14677/11652/110351/22324/18797/11541/74055/14182/15901/54354/17311/170758/13638/75292/18795/12927/14173/215449/14026/107746/17532/18591/18596/56508/14745/14924/18595/18053/22339/20130/14164/223864/110157/74769/21894/50791/23797/12315/18709/18708",73
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer - Mus musculus (house mouse)","37/2229","88/10650",0.420454545454545,2.00890126024716,4.88927576574062,5.60717671282522e-06,6.92933569002374e-05,3.59446808128033e-05,"12443/13649/11789/14281/12125/12575/13874/12028/19354/16476/17873/56044/56637/21808/21415/72993/13063/11652/17685/11799/170758/58801/26420/11836/17686/21803/23882/12043/12367/110157/74769/11839/12371/23797/18709/107986/18708",37
NA,NA,"mmu04382","Cornified envelope formation - Mus musculus (house mouse)","75/2229","223/10650",0.336322869955157,1.60692622926084,4.71233617794725,5.79108746428497e-06,6.92933569002374e-05,3.59446808128033e-05,"20201/13510/20202/67855/20759/20758/18260/13850/19041/12821/94060/16403/13512/16480/14027/16665/225256/21872/16774/67860/12333/109620/16688/53624/71978/16667/12740/268482/110308/20753/16687/20194/16782/110310/545548/12826/18772/12827/16663/20198/18553/19052/16666/51792/239931/225849/74127/386463/20196/20763/16668/16780/16669/76560/192897/20762/71932/16678/628324/74176/16691/94179/71529/20754/332131/12830/12365/16776/70061/74591/71908/16664/52432/109052/26569",75
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","51/2229","136/10650",0.375,1.79172274562584,4.78064179512849,6.1506409055311e-06,7.11424131406431e-05,3.69038454331866e-05,"16176/21926/22177/13057/14728/14282/14283/17060/14281/17970/20375/16822/17969/17972/16175/18412/18035/17342/19055/14131/21937/16476/19697/12977/15976/14389/21808/16440/21682/11652/20963/14360/234779/15975/19261/16439/16438/16177/26420/14200/100201/12326/19698/18018/21803/16151/18034/74769/23797/18709/18708",51
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","28/2229","60/10650",0.466666666666667,2.22969941677882,4.91421582671967,7.08860833640945e-06,7.88118197027403e-05,4.08822119495483e-05,"330122/16176/20310/12475/21926/14825/16414/13627/18035/66397/94044/19697/66824/16409/16173/12266/13063/12176/11783/193740/16193/21898/12370/18034/12367/24088/15510/12371",28
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","27/2229","57/10650",0.473684210526316,2.26322873131685,4.91968787953501,7.2679487910308e-06,7.88118197027403e-05,4.08822119495483e-05,"11364/67041/93747/11669/52538/208715/15107/113868/110446/73724/58875/208982/15108/78894/104776/66885/66904/56357/78038/227095/12036/12040/12035/11671/73988/72039/17850",27
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","63/2229","180/10650",0.35,1.67227456258412,4.67990680406192,7.60102526919605e-06,7.99259323760919e-05,4.14601378319785e-05,"16176/56619/14127/12475/70405/21926/69632/240354/16155/16414/16175/11984/19055/12314/12028/14131/21937/114143/19697/16409/13033/16173/12266/21808/16154/83430/13063/11652/20963/12721/16149/19349/22337/108960/27060/216238/16985/11783/16153/257632/26420/18779/12608/16193/13040/12122/21871/21898/12370/21803/225326/12043/12367/14998/24088/15510/18044/110157/12371/266632/11972/23797/12315",63
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum - Mus musculus (house mouse)","62/2229","177/10650",0.350282485875706,1.67362425956764,4.64939468418212,8.69420464699174e-06,8.87320297795921e-05,4.60281422487798e-05,"81489/12334/12333/64209/226641/67128/75744/26965/11911/15502/18024/18415/20335/66397/12028/27061/15505/66530/213539/12364/20832/110616/12330/12317/27054/66212/18453/22027/66861/193740/22393/56709/81910/54609/50873/26420/67838/108159/108687/67437/12282/69608/217365/17872/216080/12043/66357/12915/116891/105245/81500/13198/18786/72265/16430/17155/57377/26408/53421/66059/50907/192193",62
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal - Mus musculus (house mouse)","59/2229","167/10650",0.353293413173653,1.68801025136806,4.61039320018079,1.0558840180118e-05,0.00010468335835717,5.43026066406067e-05,"66922/226421/69635/12633/13030/18412/18518/56486/19744/19052/13033/15251/11652/67727/218035/19349/57436/12176/71648/228545/16438/67443/26420/17532/108079/27103/100502841/68728/78610/213948/74498/18749/217695/72145/66795/225326/12043/19338/12048/20130/56480/269338/110157/207565/105787/64930/237782/17274/74769/74244/170749/77573/23797/74302/54170/641340/18709/329015/18708",59
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","39/2229","98/10650",0.397959183673469,1.90142005658253,4.61211871635526,1.51915961815803e-05,0.000146430107639122,7.59579809079017e-05,"20201/330122/16176/20310/20202/16819/20311/17392/21926/12985/17386/14282/14825/14283/14281/18035/103213/20306/20296/16476/19697/56489/59008/56637/19225/21929/57890/22032/22033/22031/22027/26420/12608/16193/12370/16151/16172/12367/56480",39
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis - Mus musculus (house mouse)","21/2229","41/10650",0.51219512195122,2.44723106719627,4.77661452061168,1.67426343896791e-05,0.000157018760357261,8.14506537876283e-05,"26570/67547/74205/625249/14081/15368/14325/14319/213053/27057/22334/14792/14630/22042/12870/67443/50790/14629/74244/68428/433256",21
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","82/2229","256/10650",0.3203125,1.53042984522207,4.41961249406413,1.74948322021852e-05,0.000159755441425218,8.28702577998246e-05,"20303/20302/16176/70405/21926/12443/13649/69632/16155/15018/12768/19878/11911/14693/12575/12010/18035/14102/19055/12314/12028/19354/19744/20296/21937/19697/213498/14964/110557/12767/56637/16440/19225/16154/13063/14677/11652/64337/18797/12317/20312/22033/16439/16438/16177/66066/170758/18795/12927/231991/14672/16193/12122/18595/18749/18018/12370/14701/16151/12915/22339/19219/12367/56480/13555/110157/11909/19229/64930/74769/16801/19303/12371/214763/12571/23797/12315/14673/14674/18709/18708/16410",82
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism - Mus musculus (house mouse)","46/2229","123/10650",0.373983739837398,1.78686712842902,4.51574345621808,1.87217489437552e-05,0.00016657556111495,8.64080720481009e-05,"17449/93747/21881/11676/76282/66171/15277/109264/67680/18746/14433/13885/20917/68263/104174/110446/73724/56451/14661/56421/107029/19895/212032/104776/18642/110208/107272/67078/434437/269951/13806/236539/11532/100198/66904/60525/227095/18648/18563/66052/15275/18641/18655/17850/108037/14718",46
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","57/2229","163/10650",0.349693251533742,1.67080894070631,4.44011915134752,2.09052128747623e-05,0.000177589546159863,9.21213784114563e-05,"11847/226421/330662/140580/21825/18263/105722/235584/11980/20525/56696/19225/15251/19128/19015/218035/26362/19349/12317/16423/19261/20312/17164/319520/171285/228545/11303/16419/12927/16153/18613/320940/219149/20501/17304/12608/13537/18018/238257/21803/18218/55991/19219/12367/16971/20393/269338/16889/214058/11502/11846/22174/11487/50770/77573/70686/16410",57
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","36/2229","89/10650",0.404494382022472,1.93264475932675,4.54554906880226,2.09832028603873e-05,0.000177589546159863,9.21213784114563e-05,"20750/20969/16403/21825/16774/21923/20971/16777/16782/231470/12826/12827/242022/14268/16399/13138/16775/16402/16423/16780/21828/192897/15366/15530/16419/114249/12842/16398/12830/16776/12843/109700/12833/12834/12835/16410",36
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","40/2229","103/10650",0.388349514563107,1.85550575598793,4.48853575773282,2.34315957584178e-05,0.000193589612575499,0.000100421124678933,"20302/16176/21926/14281/71978/12633/18035/14102/26398/20296/21937/16476/19052/51792/19697/12266/21808/14677/11652/18797/12317/14675/18795/16153/14672/26420/16193/14676/21898/12370/21803/16151/18787/24088/74769/52432/266632/23797/18709/18708",40
"Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton - Mus musculus (house mouse)","76/2229","235/10650",0.323404255319149,1.54520202743335,4.3479983463736,2.42611992437997e-05,0.000195782235758105,0.000101558508462417,"17698/109711/66922/71960/18479/16403/227753/330662/13649/20259/108100/69632/21844/14183/60595/11789/19878/67938/16414/67268/76709/12631/11465/19241/57257/11867/19354/54004/226970/50884/74192/16409/12767/14268/16399/56443/11652/105855/22324/107589/18718/16402/18717/14182/192897/170758/16419/12927/14173/17532/18591/18481/18596/544963/70584/14745/11836/16398/20544/18595/214230/14701/109700/329165/20130/14164/110157/74769/16801/19303/23797/14673/14674/18709/18708/16410",76
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance - Mus musculus (house mouse)","16/2229","28/10650",0.571428571428571,2.73024418381081,4.71640269930287,2.92794599166313e-05,0.000230908467978888,0.000119779608749855,"16176/21926/14275/17250/19697/26357/16193/20509/27416/22171/16151/17769/13361/108147/238505/108037",16
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism - Mus musculus (house mouse)","27/2229","62/10650",0.435483870967742,2.08071028524291,4.39061925068585,4.81426987139162e-05,0.000371233698971754,0.000192570794855665,"20250/11364/20280/106529/93747/74205/170439/14081/70757/52538/56348/15107/66775/113868/110446/30963/66885/14104/94180/11370/234309/56473/15488/50790/74559/76267/433256",27
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B - Mus musculus (house mouse)","56/2229","164/10650",0.341463414634146,1.63148737813085,4.19284961583339,5.29650687259262e-05,0.000399540844519486,0.000207254616753624,"21926/22630/14281/11911/12575/18035/14102/26397/26398/12028/16476/19697/56489/12364/21808/13063/11652/26401/11799/15975/22031/71586/11783/15530/12428/231991/26420/11836/16193/12122/21898/18018/12370/21803/12447/12043/16151/20851/12448/12915/12367/24088/56480/13555/110157/11909/19229/74769/12371/266632/23797/20850/18709/107986/18708/20852",56
"Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system - Mus musculus (house mouse)","37/2229","96/10650",0.385416666666667,1.84149282189323,4.26093688610285,5.66688283022044e-05,0.000410943498020514,0.000213169537878077,"70405/233011/16329/12314/84095/75678/16331/74596/16440/13139/18704/18797/18718/234779/18799/18717/53332/74055/16439/16438/18795/219135/104418/234515/17772/16332/225326/320404/74769/56077/170749/67073/74302/12315/18709/18708/83493",37
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle - Mus musculus (house mouse)","54/2229","157/10650",0.343949044585987,1.64336353738931,4.17815019178424,5.72463947879379e-05,0.000410943498020514,0.000213169537878077,"12443/22630/26965/55948/12575/69010/17873/19052/51792/59008/56637/27214/21808/225849/12581/69716/12534/56150/72415/12531/268697/12235/17218/12649/67052/18817/12544/17215/12530/12428/17220/104394/19090/17217/22629/26429/67177/217232/21803/12236/12447/23882/12448/15182/218294/13559/13555/12577/52717/12445/12571/20842/229776/12580",54
