"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","15/432","112/10650",0.133928571428571,3.30171130952381,5.0349377283345,4.40742901244966e-05,0.00125812064537199,0.000982709052536623,"70405/21926/56619/26415/16193/216799/208650/19225/16476/16391/18018/20847/16153/83430/56489",15
NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","23/432","233/10650",0.0987124463519313,2.43353600381497,4.54913233885473,7.21797842180895e-05,0.00188870435370667,0.00147525348445744,"11465/13506/71960/20743/12111/12827/13179/12832/14118/12826/14268/18073/13003/21826/15530/109700/12831/12835/11931/14115/373864/15529/433182",23
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","14/432","108/10650",0.12962962962963,3.1957304526749,4.71566271333727,0.000112920613272982,0.00272746712059356,0.0021304050925186,"20510/12827/56643/12816/12832/12826/20514/107581/12831/12837/12835/11931/50934/373864",14
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450 - Mus musculus (house mouse)","11/432","72/10650",0.152777777777778,3.76639660493827,4.84275220531133,0.000139210620383864,0.0029196416806819,0.00228051126918835,"14873/66447/14860/11522/11670/11529/621603/103140/76263/14857/14859",11
"Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (house mouse)","8/432","39/10650",0.205128205128205,5.05698005698006,5.21879643247652,0.000139473328694995,0.0029196416806819,0.00228051126918835,"14645/14583/14584/52633/231327/76282/269642/11898",8
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","13/432","101/10650",0.128712871287129,3.1731298129813,4.51184372110456,0.000211868757380081,0.00415792436358408,0.00324772503089202,"21926/26415/16193/20296/18799/12827/22329/12826/14268/18787/16476/18795/18018",13
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)","12/432","90/10650",0.133333333333333,3.28703703703704,4.47997748266377,0.000264089690360203,0.00487789192782962,0.00381008655442274,"14873/66447/14860/13113/13849/19225/17961/103140/13078/76263/14857/14859",12
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","12/432","94/10650",0.127659574468085,3.14716312056738,4.29924913877704,0.000397812887669206,0.00693962481822949,0.00542049139338743,"16411/16409/12258/12759/14058/19128/232345/18787/16414/50909/50908/20720",12
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","15/432","138/10650",0.108695652173913,2.67964975845411,4.08346593213346,0.000467163258963171,0.00741357595192903,0.00579069123968979,"268482/16664/16666/16665/94179/16669/225256/244332/16409/13510/13214/16414/50909/50908/16153",15
NA,NA,"mmu04518","Integrin signaling - Mus musculus (house mouse)","16/432","153/10650",0.104575163398693,2.57806826434277,4.04252059020822,0.000472202289931785,0.00741357595192903,0.00579069123968979,"11465/16411/16409/12827/218952/22329/21923/14118/12826/14268/18595/21826/16414/16775/109700/12835",16
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","20/432","217/10650",0.0921658986175115,2.27214541730671,3.89291892233768,0.000521130920245108,0.00779214804556971,0.00608639119885264,"17392/70405/16173/20310/11307/20302/21926/26415/16193/20296/216799/193740/22329/20656/16476/18795/17969/18018/14825/56489",20
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","24/432","294/10650",0.0816326530612245,2.0124716553288,3.61971065211356,0.000880576437433104,0.0125682273342725,0.00981695262784273,"57266/20303/57349/16173/20310/20302/12771/18383/21926/16193/94185/20296/20306/24047/77125/53603/18413/16177/20311/16153/14825/83430/16878/12985",24
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","14/432","134/10650",0.104477611940299,2.57566334991708,3.77401725645672,0.00105992376772305,0.0144702636115234,0.0113026195825845,"268482/16664/16666/16665/70405/94179/16669/21802/15200/193740/16522/16476/18795/17979",14
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","18/432","204/10650",0.0882352941176471,2.17524509803922,3.48483210481292,0.00160745792182818,0.0205507798297974,0.0160520673829796,"13039/11465/15200/21926/26415/17022/22417/13179/14734/14182/14268/22160/14173/22418/15530/22419/15529/17869",18
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes - Mus musculus (house mouse)","11/432","96/10650",0.114583333333333,2.8247974537037,3.69279394989574,0.00169957212402767,0.0205507798297974,0.0160520673829796,"14873/66447/14860/72269/17961/54369/103140/22017/14857/14859/99586",11
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","10/432","82/10650",0.121951219512195,3.00643631436314,3.75015519804783,0.00170165692858195,0.0205507798297974,0.0160520673829796,"20303/16173/16193/216799/77125/66491/58203/67065/228607/56489",10
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","19/432","224/10650",0.0848214285714286,2.09108382936508,3.39341211412651,0.00190954222995816,0.0222072688965505,0.0173459391649221,"15018/70405/110557/20310/12771/66734/26415/16193/15015/19225/16476/14173/16391/66066/18018/20847/14825/56489/17869",19
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","19/432","231/10650",0.0822510822510823,2.02771765271765,3.24698382360608,0.00270770709828066,0.0294274214357792,0.0229855487580844,"14873/66447/14860/71932/13113/74090/13849/12288/74229/16476/14173/103140/13078/13850/12530/56489/17869/14857/14859",19
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis - Mus musculus (house mouse)","8/432","60/10650",0.133333333333333,3.28703703703704,3.65270148059342,0.00275822284586661,0.0294274214357792,0.0229855487580844,"16173/20310/21926/16193/16409/193740/16414/14825",8
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse)","16/432","181/10650",0.0883977900552486,2.1792510742787,3.29007884594888,0.00281153707985152,0.0294274214357792,0.0229855487580844,"15018/110557/71908/15015/171486/16409/19274/22329/19264/13003/16414/17967/58998/171171/216856/15529",16
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","12/432","118/10650",0.101694915254237,2.50706214689266,3.38477712997683,0.00296627595313541,0.0300455048156296,0.0234683292726842,"17392/20310/21926/26415/16193/20296/22329/19225/16476/20311/14825/16878",12
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","20/432","256/10650",0.078125,1.92599826388889,3.08355810603019,0.00383114273821177,0.037076496952158,0.02896018702599,"12010/15018/20303/70405/110557/20302/12771/21926/26415/16193/15015/20296/18595/19225/18795/16177/66066/18018/21354/17869",20
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars - Mus musculus (house mouse)","6/432","38/10650",0.157894736842105,3.89254385964912,3.67270856923845,0.00394109608199557,0.037076496952158,0.02896018702599,"14583/50798/12764/74246/331026/14584",6
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)","11/432","107/10650",0.102803738317757,2.53439771547248,3.27990350219006,0.00401465253622093,0.037076496952158,0.02896018702599,"20303/20310/17873/21926/24047/22329/12047/19225/12044/16177/14825",11
"Metabolism","Carbohydrate metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse)","6/432","39/10650",0.153846153846154,3.79273504273504,3.59250365374657,0.00450167933616759,0.0403864946159035,0.031545602566227,"14583/15212/50798/74246/331026/14584",6
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","15/432","174/10650",0.0862068965517241,2.12523946360153,3.07705438392715,0.00475539151798829,0.0414775815735645,0.0323978427979904,"11465/16173/53869/50528/214523/231382/21926/16193/20296/216799/77125/16391/20847/228607/56489",15
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis - Mus musculus (house mouse)","8/432","67/10650",0.119402985074627,2.94361525704809,3.28138086012255,0.00549854495403185,0.0466633274477297,0.0364483918716763,"11522/11670/68263/11529/621603/60525/16832/433182",8
